"","p_year","tech_field","tech_name","Continent","Region","Country","geo","geo_level","indicator","share_inv","rank_2000","Geo","Rank based on year 2000"
"29",1993,"16","Pharmaceuticals","Americas",NA,NA,"Americas","conti","Absolute numbers",2006.32562576313,1,"Americas
Indicator: Absolute numbers
Year: 1993
Value: 2006",1
"30",1994,"16","Pharmaceuticals","Americas",NA,NA,"Americas","conti","Absolute numbers",2334.87196006608,1,"Americas
Indicator: Absolute numbers
Year: 1994
Value: 2335",1
"31",1995,"16","Pharmaceuticals","Americas",NA,NA,"Americas","conti","Absolute numbers",3812.45610726992,1,"Americas
Indicator: Absolute numbers
Year: 1995
Value: 3812",1
"32",1996,"16","Pharmaceuticals","Americas",NA,NA,"Americas","conti","Absolute numbers",3085.60538756596,1,"Americas
Indicator: Absolute numbers
Year: 1996
Value: 3086",1
"33",1997,"16","Pharmaceuticals","Americas",NA,NA,"Americas","conti","Absolute numbers",3829.73294220399,1,"Americas
Indicator: Absolute numbers
Year: 1997
Value: 3830",1
"34",1998,"16","Pharmaceuticals","Americas",NA,NA,"Americas","conti","Absolute numbers",3886.86355311355,1,"Americas
Indicator: Absolute numbers
Year: 1998
Value: 3887",1
"35",1999,"16","Pharmaceuticals","Americas",NA,NA,"Americas","conti","Absolute numbers",4577.89709836947,1,"Americas
Indicator: Absolute numbers
Year: 1999
Value: 4578",1
"36",2000,"16","Pharmaceuticals","Americas",NA,NA,"Americas","conti","Absolute numbers",4162.24833001256,1,"Americas
Indicator: Absolute numbers
Year: 2000
Value: 4162",1
"37",2001,"16","Pharmaceuticals","Americas",NA,NA,"Americas","conti","Absolute numbers",4245.87277620199,1,"Americas
Indicator: Absolute numbers
Year: 2001
Value: 4246",1
"38",2002,"16","Pharmaceuticals","Americas",NA,NA,"Americas","conti","Absolute numbers",3650.78931416552,1,"Americas
Indicator: Absolute numbers
Year: 2002
Value: 3651",1
"39",2003,"16","Pharmaceuticals","Americas",NA,NA,"Americas","conti","Absolute numbers",3127.31647884795,1,"Americas
Indicator: Absolute numbers
Year: 2003
Value: 3127",1
"40",2004,"16","Pharmaceuticals","Americas",NA,NA,"Americas","conti","Absolute numbers",3424.60657420065,1,"Americas
Indicator: Absolute numbers
Year: 2004
Value: 3425",1
"41",2005,"16","Pharmaceuticals","Americas",NA,NA,"Americas","conti","Absolute numbers",3809.08688537704,1,"Americas
Indicator: Absolute numbers
Year: 2005
Value: 3809",1
"42",2006,"16","Pharmaceuticals","Americas",NA,NA,"Americas","conti","Absolute numbers",3510.61896397544,1,"Americas
Indicator: Absolute numbers
Year: 2006
Value: 3511",1
"43",2007,"16","Pharmaceuticals","Americas",NA,NA,"Americas","conti","Absolute numbers",3094.9257016132,1,"Americas
Indicator: Absolute numbers
Year: 2007
Value: 3095",1
"44",2008,"16","Pharmaceuticals","Americas",NA,NA,"Americas","conti","Absolute numbers",3006.12334424262,1,"Americas
Indicator: Absolute numbers
Year: 2008
Value: 3006",1
"45",2009,"16","Pharmaceuticals","Americas",NA,NA,"Americas","conti","Absolute numbers",2820.93201695965,1,"Americas
Indicator: Absolute numbers
Year: 2009
Value: 2821",1
"46",2010,"16","Pharmaceuticals","Americas",NA,NA,"Americas","conti","Absolute numbers",2524.95340685884,1,"Americas
Indicator: Absolute numbers
Year: 2010
Value: 2525",1
"47",2011,"16","Pharmaceuticals","Americas",NA,NA,"Americas","conti","Absolute numbers",2319.88308038711,1,"Americas
Indicator: Absolute numbers
Year: 2011
Value: 2320",1
"48",2012,"16","Pharmaceuticals","Americas",NA,NA,"Americas","conti","Absolute numbers",2341.30949410926,1,"Americas
Indicator: Absolute numbers
Year: 2012
Value: 2341",1
"49",2013,"16","Pharmaceuticals","Americas",NA,NA,"Americas","conti","Absolute numbers",2581.67338650809,1,"Americas
Indicator: Absolute numbers
Year: 2013
Value: 2582",1
"50",2014,"16","Pharmaceuticals","Americas",NA,NA,"Americas","conti","Absolute numbers",2182.70811155219,1,"Americas
Indicator: Absolute numbers
Year: 2014
Value: 2183",1
"51",2015,"16","Pharmaceuticals","Americas",NA,NA,"Americas","conti","Absolute numbers",2149.30020144356,1,"Americas
Indicator: Absolute numbers
Year: 2015
Value: 2149",1
"52",1990,"16","Pharmaceuticals","Asia",NA,NA,"Asia","conti","Absolute numbers",445.107683982684,3,"Asia
Indicator: Absolute numbers
Year: 1990
Value: 445",3
"53",1991,"16","Pharmaceuticals","Asia",NA,NA,"Asia","conti","Absolute numbers",379.52619047619,3,"Asia
Indicator: Absolute numbers
Year: 1991
Value: 380",3
"54",1992,"16","Pharmaceuticals","Asia",NA,NA,"Asia","conti","Absolute numbers",398.594388944389,3,"Asia
Indicator: Absolute numbers
Year: 1992
Value: 399",3
"55",1993,"16","Pharmaceuticals","Asia",NA,NA,"Asia","conti","Absolute numbers",466.929563492063,3,"Asia
Indicator: Absolute numbers
Year: 1993
Value: 467",3
"56",1994,"16","Pharmaceuticals","Asia",NA,NA,"Asia","conti","Absolute numbers",375.059710550887,3,"Asia
Indicator: Absolute numbers
Year: 1994
Value: 375",3
"57",1995,"16","Pharmaceuticals","Asia",NA,NA,"Asia","conti","Absolute numbers",466.679166666667,3,"Asia
Indicator: Absolute numbers
Year: 1995
Value: 467",3
"58",1996,"16","Pharmaceuticals","Asia",NA,NA,"Asia","conti","Absolute numbers",501.452741702742,3,"Asia
Indicator: Absolute numbers
Year: 1996
Value: 501",3
"59",1997,"16","Pharmaceuticals","Asia",NA,NA,"Asia","conti","Absolute numbers",591.878205128205,3,"Asia
Indicator: Absolute numbers
Year: 1997
Value: 592",3
"60",1998,"16","Pharmaceuticals","Asia",NA,NA,"Asia","conti","Absolute numbers",675.81862026862,3,"Asia
Indicator: Absolute numbers
Year: 1998
Value: 676",3
"61",1999,"16","Pharmaceuticals","Asia",NA,NA,"Asia","conti","Absolute numbers",737.913467088467,3,"Asia
Indicator: Absolute numbers
Year: 1999
Value: 738",3
"62",2000,"16","Pharmaceuticals","Asia",NA,NA,"Asia","conti","Absolute numbers",988.414556277056,3,"Asia
Indicator: Absolute numbers
Year: 2000
Value: 988",3
"63",2001,"16","Pharmaceuticals","Asia",NA,NA,"Asia","conti","Absolute numbers",1234.78999391413,3,"Asia
Indicator: Absolute numbers
Year: 2001
Value: 1235",3
"64",2002,"16","Pharmaceuticals","Asia",NA,NA,"Asia","conti","Absolute numbers",1249.31967042287,3,"Asia
Indicator: Absolute numbers
Year: 2002
Value: 1249",3
"65",2003,"16","Pharmaceuticals","Asia",NA,NA,"Asia","conti","Absolute numbers",1332.93906648907,3,"Asia
Indicator: Absolute numbers
Year: 2003
Value: 1333",3
"66",2004,"16","Pharmaceuticals","Asia",NA,NA,"Asia","conti","Absolute numbers",1314.06445031577,3,"Asia
Indicator: Absolute numbers
Year: 2004
Value: 1314",3
"67",2005,"16","Pharmaceuticals","Asia",NA,NA,"Asia","conti","Absolute numbers",1521.56818997995,3,"Asia
Indicator: Absolute numbers
Year: 2005
Value: 1522",3
"68",2006,"16","Pharmaceuticals","Asia",NA,NA,"Asia","conti","Absolute numbers",1268.86466907276,3,"Asia
Indicator: Absolute numbers
Year: 2006
Value: 1269",3
"69",2007,"16","Pharmaceuticals","Asia",NA,NA,"Asia","conti","Absolute numbers",1315.40168026418,3,"Asia
Indicator: Absolute numbers
Year: 2007
Value: 1315",3
"70",2008,"16","Pharmaceuticals","Asia",NA,NA,"Asia","conti","Absolute numbers",1244.37012015762,3,"Asia
Indicator: Absolute numbers
Year: 2008
Value: 1244",3
"71",2009,"16","Pharmaceuticals","Asia",NA,NA,"Asia","conti","Absolute numbers",1320.22434093684,3,"Asia
Indicator: Absolute numbers
Year: 2009
Value: 1320",3
"72",2010,"16","Pharmaceuticals","Asia",NA,NA,"Asia","conti","Absolute numbers",1225.1250751025,3,"Asia
Indicator: Absolute numbers
Year: 2010
Value: 1225",3
"73",2011,"16","Pharmaceuticals","Asia",NA,NA,"Asia","conti","Absolute numbers",1111.37354534011,3,"Asia
Indicator: Absolute numbers
Year: 2011
Value: 1111",3
"74",2012,"16","Pharmaceuticals","Asia",NA,NA,"Asia","conti","Absolute numbers",1132.45150314512,3,"Asia
Indicator: Absolute numbers
Year: 2012
Value: 1132",3
"75",2013,"16","Pharmaceuticals","Asia",NA,NA,"Asia","conti","Absolute numbers",1272.0304760767,3,"Asia
Indicator: Absolute numbers
Year: 2013
Value: 1272",3
"76",2014,"16","Pharmaceuticals","Asia",NA,NA,"Asia","conti","Absolute numbers",1365.52319274293,3,"Asia
Indicator: Absolute numbers
Year: 2014
Value: 1366",3
"77",2015,"16","Pharmaceuticals","Asia",NA,NA,"Asia","conti","Absolute numbers",1367.89239347318,3,"Asia
Indicator: Absolute numbers
Year: 2015
Value: 1368",3
"78",1990,"16","Pharmaceuticals","Europe",NA,NA,"Europe","conti","Absolute numbers",742.961038961039,2,"Europe
Indicator: Absolute numbers
Year: 1990
Value: 743",2
"79",1991,"16","Pharmaceuticals","Europe",NA,NA,"Europe","conti","Absolute numbers",831.395634920635,2,"Europe
Indicator: Absolute numbers
Year: 1991
Value: 831",2
"80",1992,"16","Pharmaceuticals","Europe",NA,NA,"Europe","conti","Absolute numbers",831.602003552004,2,"Europe
Indicator: Absolute numbers
Year: 1992
Value: 832",2
"81",1993,"16","Pharmaceuticals","Europe",NA,NA,"Europe","conti","Absolute numbers",946.09358974359,2,"Europe
Indicator: Absolute numbers
Year: 1993
Value: 946",2
"82",1994,"16","Pharmaceuticals","Europe",NA,NA,"Europe","conti","Absolute numbers",1095.05400759371,2,"Europe
Indicator: Absolute numbers
Year: 1994
Value: 1095",2
"83",1995,"16","Pharmaceuticals","Europe",NA,NA,"Europe","conti","Absolute numbers",1271.42576491276,2,"Europe
Indicator: Absolute numbers
Year: 1995
Value: 1271",2
"84",1996,"16","Pharmaceuticals","Europe",NA,NA,"Europe","conti","Absolute numbers",1317.85209307601,2,"Europe
Indicator: Absolute numbers
Year: 1996
Value: 1318",2
"85",1997,"16","Pharmaceuticals","Europe",NA,NA,"Europe","conti","Absolute numbers",1482.34533609665,2,"Europe
Indicator: Absolute numbers
Year: 1997
Value: 1482",2
"86",1998,"16","Pharmaceuticals","Europe",NA,NA,"Europe","conti","Absolute numbers",1593.54846819847,2,"Europe
Indicator: Absolute numbers
Year: 1998
Value: 1594",2
"87",1999,"16","Pharmaceuticals","Europe",NA,NA,"Europe","conti","Absolute numbers",1877.77230547231,2,"Europe
Indicator: Absolute numbers
Year: 1999
Value: 1878",2
"88",2000,"16","Pharmaceuticals","Europe",NA,NA,"Europe","conti","Absolute numbers",2068.66607281607,2,"Europe
Indicator: Absolute numbers
Year: 2000
Value: 2069",2
"89",2001,"16","Pharmaceuticals","Europe",NA,NA,"Europe","conti","Absolute numbers",2367.48116938101,2,"Europe
Indicator: Absolute numbers
Year: 2001
Value: 2367",2
"90",2002,"16","Pharmaceuticals","Europe",NA,NA,"Europe","conti","Absolute numbers",2144.61936720687,2,"Europe
Indicator: Absolute numbers
Year: 2002
Value: 2145",2
"91",2003,"16","Pharmaceuticals","Europe",NA,NA,"Europe","conti","Absolute numbers",1915.85115351968,2,"Europe
Indicator: Absolute numbers
Year: 2003
Value: 1916",2
"92",2004,"16","Pharmaceuticals","Europe",NA,NA,"Europe","conti","Absolute numbers",2101.80829192737,2,"Europe
Indicator: Absolute numbers
Year: 2004
Value: 2102",2
"93",2005,"16","Pharmaceuticals","Europe",NA,NA,"Europe","conti","Absolute numbers",2317.78506718021,2,"Europe
Indicator: Absolute numbers
Year: 2005
Value: 2318",2
"94",2006,"16","Pharmaceuticals","Europe",NA,NA,"Europe","conti","Absolute numbers",2213.53390105169,2,"Europe
Indicator: Absolute numbers
Year: 2006
Value: 2214",2
"95",2007,"16","Pharmaceuticals","Europe",NA,NA,"Europe","conti","Absolute numbers",2163.31002793503,2,"Europe
Indicator: Absolute numbers
Year: 2007
Value: 2163",2
"96",2008,"16","Pharmaceuticals","Europe",NA,NA,"Europe","conti","Absolute numbers",2019.87651735519,2,"Europe
Indicator: Absolute numbers
Year: 2008
Value: 2020",2
"97",2009,"16","Pharmaceuticals","Europe",NA,NA,"Europe","conti","Absolute numbers",1779.18387862138,2,"Europe
Indicator: Absolute numbers
Year: 2009
Value: 1779",2
"98",2010,"16","Pharmaceuticals","Europe",NA,NA,"Europe","conti","Absolute numbers",1527.2083079999,2,"Europe
Indicator: Absolute numbers
Year: 2010
Value: 1527",2
"99",2011,"16","Pharmaceuticals","Europe",NA,NA,"Europe","conti","Absolute numbers",1444.40248558631,2,"Europe
Indicator: Absolute numbers
Year: 2011
Value: 1444",2
"100",2012,"16","Pharmaceuticals","Europe",NA,NA,"Europe","conti","Absolute numbers",1421.54111729773,2,"Europe
Indicator: Absolute numbers
Year: 2012
Value: 1422",2
"101",2013,"16","Pharmaceuticals","Europe",NA,NA,"Europe","conti","Absolute numbers",1323.97527275356,2,"Europe
Indicator: Absolute numbers
Year: 2013
Value: 1324",2
"102",2014,"16","Pharmaceuticals","Europe",NA,NA,"Europe","conti","Absolute numbers",1286.90480681599,2,"Europe
Indicator: Absolute numbers
Year: 2014
Value: 1287",2
"103",2015,"16","Pharmaceuticals","Europe",NA,NA,"Europe","conti","Absolute numbers",1075.56563019149,2,"Europe
Indicator: Absolute numbers
Year: 2015
Value: 1076",2
"104",1990,"16","Pharmaceuticals","Oceania",NA,NA,"Oceania","conti","Absolute numbers",24.5666666666667,4,"Oceania
Indicator: Absolute numbers
Year: 1990
Value: 25",4
"105",1991,"16","Pharmaceuticals","Oceania",NA,NA,"Oceania","conti","Absolute numbers",19.5,4,"Oceania
Indicator: Absolute numbers
Year: 1991
Value: 20",4
"106",1992,"16","Pharmaceuticals","Oceania",NA,NA,"Oceania","conti","Absolute numbers",24.1071428571429,4,"Oceania
Indicator: Absolute numbers
Year: 1992
Value: 24",4
"107",1993,"16","Pharmaceuticals","Oceania",NA,NA,"Oceania","conti","Absolute numbers",49.1071428571429,4,"Oceania
Indicator: Absolute numbers
Year: 1993
Value: 49",4
"108",1994,"16","Pharmaceuticals","Oceania",NA,NA,"Oceania","conti","Absolute numbers",46.9111111111111,4,"Oceania
Indicator: Absolute numbers
Year: 1994
Value: 47",4
"109",1995,"16","Pharmaceuticals","Oceania",NA,NA,"Oceania","conti","Absolute numbers",45.2928571428571,4,"Oceania
Indicator: Absolute numbers
Year: 1995
Value: 45",4
"110",1996,"16","Pharmaceuticals","Oceania",NA,NA,"Oceania","conti","Absolute numbers",79.0277777777778,4,"Oceania
Indicator: Absolute numbers
Year: 1996
Value: 79",4
"111",1997,"16","Pharmaceuticals","Oceania",NA,NA,"Oceania","conti","Absolute numbers",85.2010073260073,4,"Oceania
Indicator: Absolute numbers
Year: 1997
Value: 85",4
"112",1998,"16","Pharmaceuticals","Oceania",NA,NA,"Oceania","conti","Absolute numbers",81.0694805194805,4,"Oceania
Indicator: Absolute numbers
Year: 1998
Value: 81",4
"113",1999,"16","Pharmaceuticals","Oceania",NA,NA,"Oceania","conti","Absolute numbers",101.275793650794,4,"Oceania
Indicator: Absolute numbers
Year: 1999
Value: 101",4
"114",2000,"16","Pharmaceuticals","Oceania",NA,NA,"Oceania","conti","Absolute numbers",129.645238095238,4,"Oceania
Indicator: Absolute numbers
Year: 2000
Value: 130",4
"115",2001,"16","Pharmaceuticals","Oceania",NA,NA,"Oceania","conti","Absolute numbers",117.834126984127,4,"Oceania
Indicator: Absolute numbers
Year: 2001
Value: 118",4
"116",2002,"16","Pharmaceuticals","Oceania",NA,NA,"Oceania","conti","Absolute numbers",142.802777777778,4,"Oceania
Indicator: Absolute numbers
Year: 2002
Value: 143",4
"117",2003,"16","Pharmaceuticals","Oceania",NA,NA,"Oceania","conti","Absolute numbers",103.278113553114,4,"Oceania
Indicator: Absolute numbers
Year: 2003
Value: 103",4
"118",2004,"16","Pharmaceuticals","Oceania",NA,NA,"Oceania","conti","Absolute numbers",113.526587301587,4,"Oceania
Indicator: Absolute numbers
Year: 2004
Value: 114",4
"119",2005,"16","Pharmaceuticals","Oceania",NA,NA,"Oceania","conti","Absolute numbers",124.262179487179,4,"Oceania
Indicator: Absolute numbers
Year: 2005
Value: 124",4
"120",2006,"16","Pharmaceuticals","Oceania",NA,NA,"Oceania","conti","Absolute numbers",102.171428571429,4,"Oceania
Indicator: Absolute numbers
Year: 2006
Value: 102",4
"121",2007,"16","Pharmaceuticals","Oceania",NA,NA,"Oceania","conti","Absolute numbers",79.9369519369519,4,"Oceania
Indicator: Absolute numbers
Year: 2007
Value: 80",4
"122",2008,"16","Pharmaceuticals","Oceania",NA,NA,"Oceania","conti","Absolute numbers",106.941043596926,4,"Oceania
Indicator: Absolute numbers
Year: 2008
Value: 107",4
"123",2009,"16","Pharmaceuticals","Oceania",NA,NA,"Oceania","conti","Absolute numbers",88.5381313131313,4,"Oceania
Indicator: Absolute numbers
Year: 2009
Value: 89",4
"124",2010,"16","Pharmaceuticals","Oceania",NA,NA,"Oceania","conti","Absolute numbers",78.3095238095238,4,"Oceania
Indicator: Absolute numbers
Year: 2010
Value: 78",4
"125",2011,"16","Pharmaceuticals","Oceania",NA,NA,"Oceania","conti","Absolute numbers",85.6666666666667,4,"Oceania
Indicator: Absolute numbers
Year: 2011
Value: 86",4
"126",2012,"16","Pharmaceuticals","Oceania",NA,NA,"Oceania","conti","Absolute numbers",91.5888888888889,4,"Oceania
Indicator: Absolute numbers
Year: 2012
Value: 92",4
"127",2013,"16","Pharmaceuticals","Oceania",NA,NA,"Oceania","conti","Absolute numbers",78.5095238095238,4,"Oceania
Indicator: Absolute numbers
Year: 2013
Value: 79",4
"128",2014,"16","Pharmaceuticals","Oceania",NA,NA,"Oceania","conti","Absolute numbers",79.0595238095238,4,"Oceania
Indicator: Absolute numbers
Year: 2014
Value: 79",4
"129",2015,"16","Pharmaceuticals","Oceania",NA,NA,"Oceania","conti","Absolute numbers",61.5,4,"Oceania
Indicator: Absolute numbers
Year: 2015
Value: 62",4
"130",1990,"16","Pharmaceuticals",NA,NA,"Australia","Australia"," ctry","Absolute numbers",22.2333333333333,12,"Australia
Indicator: Absolute numbers
Year: 1990
Value: 22",12
"131",1991,"16","Pharmaceuticals",NA,NA,"Australia","Australia"," ctry","Absolute numbers",16.8333333333333,12,"Australia
Indicator: Absolute numbers
Year: 1991
Value: 17",12
"132",1992,"16","Pharmaceuticals",NA,NA,"Australia","Australia"," ctry","Absolute numbers",14.6761904761905,12,"Australia
Indicator: Absolute numbers
Year: 1992
Value: 15",12
"133",1993,"16","Pharmaceuticals",NA,NA,"Australia","Australia"," ctry","Absolute numbers",44.3928571428571,12,"Australia
Indicator: Absolute numbers
Year: 1993
Value: 44",12
"134",1994,"16","Pharmaceuticals",NA,NA,"Australia","Australia"," ctry","Absolute numbers",41.7206349206349,12,"Australia
Indicator: Absolute numbers
Year: 1994
Value: 42",12
"135",1995,"16","Pharmaceuticals",NA,NA,"Australia","Australia"," ctry","Absolute numbers",40.2928571428571,12,"Australia
Indicator: Absolute numbers
Year: 1995
Value: 40",12
"136",1996,"16","Pharmaceuticals",NA,NA,"Australia","Australia"," ctry","Absolute numbers",65.5,12,"Australia
Indicator: Absolute numbers
Year: 1996
Value: 66",12
"137",1997,"16","Pharmaceuticals",NA,NA,"Australia","Australia"," ctry","Absolute numbers",68.1538461538462,12,"Australia
Indicator: Absolute numbers
Year: 1997
Value: 68",12
"138",1998,"16","Pharmaceuticals",NA,NA,"Australia","Australia"," ctry","Absolute numbers",61.5242424242424,12,"Australia
Indicator: Absolute numbers
Year: 1998
Value: 62",12
"139",1999,"16","Pharmaceuticals",NA,NA,"Australia","Australia"," ctry","Absolute numbers",82.8555555555556,12,"Australia
Indicator: Absolute numbers
Year: 1999
Value: 83",12
"140",2000,"16","Pharmaceuticals",NA,NA,"Australia","Australia"," ctry","Absolute numbers",115.611904761905,12,"Australia
Indicator: Absolute numbers
Year: 2000
Value: 116",12
"141",2001,"16","Pharmaceuticals",NA,NA,"Australia","Australia"," ctry","Absolute numbers",99.9174603174603,12,"Australia
Indicator: Absolute numbers
Year: 2001
Value: 100",12
"142",2002,"16","Pharmaceuticals",NA,NA,"Australia","Australia"," ctry","Absolute numbers",115.819444444444,12,"Australia
Indicator: Absolute numbers
Year: 2002
Value: 116",12
"143",2003,"16","Pharmaceuticals",NA,NA,"Australia","Australia"," ctry","Absolute numbers",82.0352564102564,12,"Australia
Indicator: Absolute numbers
Year: 2003
Value: 82",12
"144",2004,"16","Pharmaceuticals",NA,NA,"Australia","Australia"," ctry","Absolute numbers",102.584920634921,12,"Australia
Indicator: Absolute numbers
Year: 2004
Value: 103",12
"145",2005,"16","Pharmaceuticals",NA,NA,"Australia","Australia"," ctry","Absolute numbers",106.962179487179,12,"Australia
Indicator: Absolute numbers
Year: 2005
Value: 107",12
"146",2006,"16","Pharmaceuticals",NA,NA,"Australia","Australia"," ctry","Absolute numbers",92.8214285714286,12,"Australia
Indicator: Absolute numbers
Year: 2006
Value: 93",12
"147",2007,"16","Pharmaceuticals",NA,NA,"Australia","Australia"," ctry","Absolute numbers",70.2131424131424,12,"Australia
Indicator: Absolute numbers
Year: 2007
Value: 70",12
"148",2008,"16","Pharmaceuticals",NA,NA,"Australia","Australia"," ctry","Absolute numbers",96.2414098972922,12,"Australia
Indicator: Absolute numbers
Year: 2008
Value: 96",12
"149",2009,"16","Pharmaceuticals",NA,NA,"Australia","Australia"," ctry","Absolute numbers",77.4405122655123,12,"Australia
Indicator: Absolute numbers
Year: 2009
Value: 77",12
"150",2010,"16","Pharmaceuticals",NA,NA,"Australia","Australia"," ctry","Absolute numbers",75.0595238095238,12,"Australia
Indicator: Absolute numbers
Year: 2010
Value: 75",12
"151",2011,"16","Pharmaceuticals",NA,NA,"Australia","Australia"," ctry","Absolute numbers",78.1833333333333,12,"Australia
Indicator: Absolute numbers
Year: 2011
Value: 78",12
"152",2012,"16","Pharmaceuticals",NA,NA,"Australia","Australia"," ctry","Absolute numbers",74.25,12,"Australia
Indicator: Absolute numbers
Year: 2012
Value: 74",12
"153",2013,"16","Pharmaceuticals",NA,NA,"Australia","Australia"," ctry","Absolute numbers",63.4428571428571,12,"Australia
Indicator: Absolute numbers
Year: 2013
Value: 63",12
"154",2014,"16","Pharmaceuticals",NA,NA,"Australia","Australia"," ctry","Absolute numbers",68.4428571428571,12,"Australia
Indicator: Absolute numbers
Year: 2014
Value: 68",12
"155",2015,"16","Pharmaceuticals",NA,NA,"Australia","Australia"," ctry","Absolute numbers",54.0333333333333,12,"Australia
Indicator: Absolute numbers
Year: 2015
Value: 54",12
"156",1990,"16","Pharmaceuticals",NA,NA,"Canada","Canada"," ctry","Absolute numbers",26.3888888888889,7,"Canada
Indicator: Absolute numbers
Year: 1990
Value: 26",7
