"","ind.code","year","variable","value","ind.name","Industry"
"23","10-12",1999,"GVA percentage change",7.03668257705966,"Food and tobacco products","Food and tobacco products
Indicator: GVA percentage change
Year: 1999
Value: 7.04%"
"24","10-12",2000,"GVA percentage change",-4.66965076596186,"Food and tobacco products","Food and tobacco products
Indicator: GVA percentage change
Year: 2000
Value: -4.67%"
"25","10-12",2001,"GVA percentage change",4.14744760573312,"Food and tobacco products","Food and tobacco products
Indicator: GVA percentage change
Year: 2001
Value: 4.15%"
"26","10-12",2003,"GVA in millions CHF",9147.44974488985,"Food and tobacco products","Food and tobacco products
Indicator: GVA in millions CHF
Year: 2003
Value: 9147.45 million CHF"
"27","10-12",2006,"Share in GDP",1.81199683901498,"Food and tobacco products","Food and tobacco products
Indicator: Share in GDP
Year: 2006
Value: 1.81%"
"28","10-12",2007,"Share in GDP",1.74474183217125,"Food and tobacco products","Food and tobacco products
Indicator: Share in GDP
Year: 2007
Value: 1.74%"
"29","10-12",2012,"Share in GDP",1.95690257556387,"Food and tobacco products","Food and tobacco products
Indicator: Share in GDP
Year: 2012
Value: 1.96%"
"30","10-12",2013,"Share in GDP",1.91743865995027,"Food and tobacco products","Food and tobacco products
Indicator: Share in GDP
Year: 2013
Value: 1.92%"
"31","10-12",2011,"Share in GDP",2.02201029521899,"Food and tobacco products","Food and tobacco products
Indicator: Share in GDP
Year: 2011
Value: 2.02%"
"32","10-12",2005,"GVA percentage change",3.03931051212673,"Food and tobacco products","Food and tobacco products
Indicator: GVA percentage change
Year: 2005
Value: 3.04%"
"33","10-12",2006,"GVA percentage change",2.4655584205853,"Food and tobacco products","Food and tobacco products
Indicator: GVA percentage change
Year: 2006
Value: 2.47%"
"34","10-12",1998,"Share in GDP",1.91090208207327,"Food and tobacco products","Food and tobacco products
Indicator: Share in GDP
Year: 1998
Value: 1.91%"
"35","10-12",2010,"GVA percentage change",4.80087642026181,"Food and tobacco products","Food and tobacco products
Indicator: GVA percentage change
Year: 2010
Value: 4.8%"
"36","10-12",2011,"GVA percentage change",11.4185983280072,"Food and tobacco products","Food and tobacco products
Indicator: GVA percentage change
Year: 2011
Value: 11.42%"
"37","10-12",2012,"GVA percentage change",-1.80679502026562,"Food and tobacco products","Food and tobacco products
Indicator: GVA percentage change
Year: 2012
Value: -1.81%"
"38","10-12",2002,"GVA in millions CHF",9204.21174385158,"Food and tobacco products","Food and tobacco products
Indicator: GVA in millions CHF
Year: 2002
Value: 9204.21 million CHF"
"39","10-12",2015,"GVA in millions CHF",11745.2548465196,"Food and tobacco products","Food and tobacco products
Indicator: GVA in millions CHF
Year: 2015
Value: 11745.25 million CHF"
"40","10-12",2004,"Share in GDP",1.89470985448904,"Food and tobacco products","Food and tobacco products
Indicator: Share in GDP
Year: 2004
Value: 1.89%"
"41","10-12",2005,"Share in GDP",1.87819594677671,"Food and tobacco products","Food and tobacco products
Indicator: Share in GDP
Year: 2005
Value: 1.88%"
"42","10-12",2019,"GVA in millions CHF",12303.1382082246,"Food and tobacco products","Food and tobacco products
Indicator: GVA in millions CHF
Year: 2019
Value: 12303.14 million CHF"
"43","10-12",2010,"Share in GDP",1.85080908524306,"Food and tobacco products","Food and tobacco products
Indicator: Share in GDP
Year: 2010
Value: 1.85%"
"44","10-12",2017,"GVA percentage change",3.70391562878947,"Food and tobacco products","Food and tobacco products
Indicator: GVA percentage change
Year: 2017
Value: 3.7%"
"45","10-12",2018,"GVA percentage change",-6.62606085669143,"Food and tobacco products","Food and tobacco products
Indicator: GVA percentage change
Year: 2018
Value: -6.63%"
"46","10-12",2008,"GVA in millions CHF",10703.6842242679,"Food and tobacco products","Food and tobacco products
Indicator: GVA in millions CHF
Year: 2008
Value: 10703.68 million CHF"
"47","10-12",1997,"Share in GDP",2.04935251126927,"Food and tobacco products","Food and tobacco products
Indicator: Share in GDP
Year: 1997
Value: 2.05%"
"48","10-12",1998,"GVA in millions CHF",8145.96848358497,"Food and tobacco products","Food and tobacco products
Indicator: GVA in millions CHF
Year: 1998
Value: 8145.97 million CHF"
"49","10-12",1999,"GVA in millions CHF",8719.17442860216,"Food and tobacco products","Food and tobacco products
Indicator: GVA in millions CHF
Year: 1999
Value: 8719.17 million CHF"
"50","10-12",2018,"Share in GDP",1.71947365550259,"Food and tobacco products","Food and tobacco products
Indicator: Share in GDP
Year: 2018
Value: 1.72%"
"51","10-12",2019,"Share in GDP",1.74082083895881,"Food and tobacco products","Food and tobacco products
Indicator: Share in GDP
Year: 2019
Value: 1.74%"
"52","10-12",2014,"GVA in millions CHF",11998.2085830877,"Food and tobacco products","Food and tobacco products
Indicator: GVA in millions CHF
Year: 2014
Value: 11998.21 million CHF"
"53","10-12",2003,"Share in GDP",1.94292750937927,"Food and tobacco products","Food and tobacco products
Indicator: Share in GDP
Year: 2003
Value: 1.94%"
"54","10-12",2006,"GVA in millions CHF",9704.90474082413,"Food and tobacco products","Food and tobacco products
Indicator: GVA in millions CHF
Year: 2006
Value: 9704.9 million CHF"
"55","10-12",2008,"Share in GDP",1.79901672626827,"Food and tobacco products","Food and tobacco products
Indicator: Share in GDP
Year: 2008
Value: 1.8%"
"56","10-12",2009,"Share in GDP",1.82830384210219,"Food and tobacco products","Food and tobacco products
Indicator: Share in GDP
Year: 2009
Value: 1.83%"
"57","10-12",2016,"GVA percentage change",5.71617889331091,"Food and tobacco products","Food and tobacco products
Indicator: GVA percentage change
Year: 2016
Value: 5.72%"
"58","10-12",2011,"GVA in millions CHF",12513.5894135915,"Food and tobacco products","Food and tobacco products
Indicator: GVA in millions CHF
Year: 2011
Value: 12513.59 million CHF"
"59","10-12",2007,"GVA in millions CHF",9947.01883531373,"Food and tobacco products","Food and tobacco products
Indicator: GVA in millions CHF
Year: 2007
Value: 9947.02 million CHF"
"60","10-12",2001,"GVA in millions CHF",8656.75608407804,"Food and tobacco products","Food and tobacco products
Indicator: GVA in millions CHF
Year: 2001
Value: 8656.76 million CHF"
"61","10-12",1999,"Share in GDP",2.0256865711433,"Food and tobacco products","Food and tobacco products
Indicator: Share in GDP
Year: 1999
Value: 2.03%"
"62","10-12",2001,"Share in GDP",1.8621606166704,"Food and tobacco products","Food and tobacco products
Indicator: Share in GDP
Year: 2001
Value: 1.86%"
"63","10-12",2000,"GVA in millions CHF",8312.01943311139,"Food and tobacco products","Food and tobacco products
Indicator: GVA in millions CHF
Year: 2000
Value: 8312.02 million CHF"
"64","10-12",2005,"GVA in millions CHF",9471.38227753455,"Food and tobacco products","Food and tobacco products
Indicator: GVA in millions CHF
Year: 2005
Value: 9471.38 million CHF"
"65","10-12",2002,"Share in GDP",1.97823722932438,"Food and tobacco products","Food and tobacco products
Indicator: Share in GDP
Year: 2002
Value: 1.98%"
"66","10-12",2012,"GVA in millions CHF",12287.4945032102,"Food and tobacco products","Food and tobacco products
Indicator: GVA in millions CHF
Year: 2012
Value: 12287.49 million CHF"
"67","10-12",2015,"GVA percentage change",-2.10826253616461,"Food and tobacco products","Food and tobacco products
Indicator: GVA percentage change
Year: 2015
Value: -2.11%"
"68","10-12",2013,"GVA in millions CHF",12259.8654777126,"Food and tobacco products","Food and tobacco products
Indicator: GVA in millions CHF
Year: 2013
Value: 12259.87 million CHF"
"69","10-12",2000,"Share in GDP",1.83957155101581,"Food and tobacco products","Food and tobacco products
Indicator: Share in GDP
Year: 2000
Value: 1.84%"
"70","13-15",2000,"Share in GDP",0.303363140960678,"Textiles and apparel","Textiles and apparel
Indicator: Share in GDP
Year: 2000
Value: 0.3%"
"71","13-15",2018,"GVA percentage change",5.32930187684669,"Textiles and apparel","Textiles and apparel
Indicator: GVA percentage change
Year: 2018
Value: 5.33%"
"72","13-15",1999,"Share in GDP",0.327518170189866,"Textiles and apparel","Textiles and apparel
Indicator: Share in GDP
Year: 1999
Value: 0.33%"
"73","13-15",2010,"GVA percentage change",9.51895937863679,"Textiles and apparel","Textiles and apparel
Indicator: GVA percentage change
Year: 2010
Value: 9.52%"
"74","13-15",2012,"GVA percentage change",-6.8309641973167,"Textiles and apparel","Textiles and apparel
Indicator: GVA percentage change
Year: 2012
Value: -6.83%"
"75","13-15",2008,"GVA percentage change",4.63075524333744,"Textiles and apparel","Textiles and apparel
Indicator: GVA percentage change
Year: 2008
Value: 4.63%"
"76","13-15",2013,"GVA percentage change",-1.11737681068668,"Textiles and apparel","Textiles and apparel
Indicator: GVA percentage change
Year: 2013
Value: -1.12%"
"77","13-15",2019,"GVA percentage change",-3.85687453241185,"Textiles and apparel","Textiles and apparel
Indicator: GVA percentage change
Year: 2019
Value: -3.86%"
"78","13-15",2001,"GVA in millions CHF",1387.23444213667,"Textiles and apparel","Textiles and apparel
Indicator: GVA in millions CHF
Year: 2001
Value: 1387.23 million CHF"
"79","13-15",1998,"Share in GDP",0.383869144695642,"Textiles and apparel","Textiles and apparel
Indicator: Share in GDP
Year: 1998
Value: 0.38%"
"80","13-15",2012,"Share in GDP",0.184349106722928,"Textiles and apparel","Textiles and apparel
Indicator: Share in GDP
Year: 2012
Value: 0.18%"
"81","13-15",2000,"GVA in millions CHF",1370.73239774906,"Textiles and apparel","Textiles and apparel
Indicator: GVA in millions CHF
Year: 2000
Value: 1370.73 million CHF"
"82","13-15",1997,"Share in GDP",0.40276911763953,"Textiles and apparel","Textiles and apparel
Indicator: Share in GDP
Year: 1997
Value: 0.4%"
"83","13-15",2002,"Share in GDP",0.266456459226598,"Textiles and apparel","Textiles and apparel
Indicator: Share in GDP
Year: 2002
Value: 0.27%"
"84","13-15",2009,"GVA percentage change",-16.4827187601907,"Textiles and apparel","Textiles and apparel
Indicator: GVA percentage change
Year: 2009
Value: -16.48%"
"85","13-15",2005,"GVA percentage change",-1.12596178116355,"Textiles and apparel","Textiles and apparel
Indicator: GVA percentage change
Year: 2005
Value: -1.13%"
"86","13-15",2001,"Share in GDP",0.298408932762572,"Textiles and apparel","Textiles and apparel
Indicator: Share in GDP
Year: 2001
Value: 0.3%"
"87","13-15",2004,"Share in GDP",0.244085126791867,"Textiles and apparel","Textiles and apparel
Indicator: Share in GDP
Year: 2004
Value: 0.24%"
"88","13-15",2006,"Share in GDP",0.228080974759803,"Textiles and apparel","Textiles and apparel
Indicator: Share in GDP
Year: 2006
Value: 0.23%"
"89","13-15",2011,"GVA percentage change",0.863500055835393,"Textiles and apparel","Textiles and apparel
Indicator: GVA percentage change
Year: 2011
Value: 0.86%"
"90","13-15",2005,"Share in GDP",0.232176804617179,"Textiles and apparel","Textiles and apparel
Indicator: Share in GDP
Year: 2005
Value: 0.23%"
"91","13-15",2010,"Share in GDP",0.20298640213554,"Textiles and apparel","Textiles and apparel
Indicator: Share in GDP
Year: 2010
Value: 0.2%"
"92","13-15",2011,"Share in GDP",0.200754380106602,"Textiles and apparel","Textiles and apparel
Indicator: Share in GDP
Year: 2011
Value: 0.2%"
"93","13-15",2016,"GVA percentage change",-3.34670496431759,"Textiles and apparel","Textiles and apparel
Indicator: GVA percentage change
Year: 2016
Value: -3.35%"
"94","13-15",2017,"GVA percentage change",0.498171024321678,"Textiles and apparel","Textiles and apparel
Indicator: GVA percentage change
Year: 2017
Value: 0.5%"
"95","13-15",2006,"GVA percentage change",4.3353806970846,"Textiles and apparel","Textiles and apparel
Indicator: GVA percentage change
Year: 2006
Value: 4.34%"
"96","13-15",2007,"GVA percentage change",5.3614200243631,"Textiles and apparel","Textiles and apparel
Indicator: GVA percentage change
Year: 2007
Value: 5.36%"
"97","13-15",1997,"GVA in millions CHF",1672.32344232929,"Textiles and apparel","Textiles and apparel
Indicator: GVA in millions CHF
Year: 1997
Value: 1672.32 million CHF"
"98","13-15",1999,"GVA in millions CHF",1409.73835493726,"Textiles and apparel","Textiles and apparel
Indicator: GVA in millions CHF
Year: 1999
Value: 1409.74 million CHF"
"99","13-15",2003,"Share in GDP",0.251640203952589,"Textiles and apparel","Textiles and apparel
Indicator: Share in GDP
Year: 2003
Value: 0.25%"
"100","13-15",1997,"GVA percentage change",NA,"Textiles and apparel","Textiles and apparel
Indicator: GVA percentage change
Year: 1997
Value: NA%"
"101","13-15",1998,"GVA percentage change",-2.14856044323633,"Textiles and apparel","Textiles and apparel
Indicator: GVA percentage change
Year: 1998
Value: -2.15%"
"102","13-15",2007,"Share in GDP",0.225757792797591,"Textiles and apparel","Textiles and apparel
Indicator: Share in GDP
Year: 2007
Value: 0.23%"
"103","13-15",2002,"GVA in millions CHF",1239.75104445697,"Textiles and apparel","Textiles and apparel
Indicator: GVA in millions CHF
Year: 2002
Value: 1239.75 million CHF"
"104","13-15",2014,"GVA percentage change",1.29633070062001,"Textiles and apparel","Textiles and apparel
Indicator: GVA percentage change
Year: 2014
Value: 1.3%"
"105","13-15",2015,"GVA percentage change",-4.47369390561061,"Textiles and apparel","Textiles and apparel
Indicator: GVA percentage change
Year: 2015
Value: -4.47%"
"106","13-15",2018,"GVA in millions CHF",1133.17210390469,"Textiles and apparel","Textiles and apparel
Indicator: GVA in millions CHF
Year: 2018
Value: 1133.17 million CHF"
"107","13-15",2019,"GVA in millions CHF",1089.4670776208,"Textiles and apparel","Textiles and apparel
Indicator: GVA in millions CHF
Year: 2019
Value: 1089.47 million CHF"
"108","13-15",2007,"GVA in millions CHF",1287.07696220129,"Textiles and apparel","Textiles and apparel
Indicator: GVA in millions CHF
Year: 2007
Value: 1287.08 million CHF"
"109","13-15",2008,"GVA in millions CHF",1346.67834611422,"Textiles and apparel","Textiles and apparel
Indicator: GVA in millions CHF
Year: 2008
Value: 1346.68 million CHF"
"110","13-15",2009,"GVA in millions CHF",1124.70914171982,"Textiles and apparel","Textiles and apparel
Indicator: GVA in millions CHF
Year: 2009
Value: 1124.71 million CHF"
"111","13-15",1998,"GVA in millions CHF",1636.39256236444,"Textiles and apparel","Textiles and apparel
Indicator: GVA in millions CHF
Year: 1998
Value: 1636.39 million CHF"
"112","13-15",2015,"Share in GDP",0.169158066687167,"Textiles and apparel","Textiles and apparel
Indicator: Share in GDP
Year: 2015
Value: 0.17%"
"113","13-15",2011,"GVA in millions CHF",1242.4060805101,"Textiles and apparel","Textiles and apparel
Indicator: GVA in millions CHF
Year: 2011
Value: 1242.41 million CHF"
"114","13-15",2012,"GVA in millions CHF",1157.53776596517,"Textiles and apparel","Textiles and apparel
Indicator: GVA in millions CHF
Year: 2012
Value: 1157.54 million CHF"
"115","13-15",2018,"Share in GDP",0.162056577940212,"Textiles and apparel","Textiles and apparel
Indicator: Share in GDP
Year: 2018
Value: 0.16%"
"116","13-15",2008,"Share in GDP",0.226342333985332,"Textiles and apparel","Textiles and apparel
Indicator: Share in GDP
Year: 2008
Value: 0.23%"
"117","13-15",2009,"Share in GDP",0.191879819426729,"Textiles and apparel","Textiles and apparel
Indicator: Share in GDP
Year: 2009
Value: 0.19%"
"118","13-15",2017,"GVA in millions CHF",1075.83747704853,"Textiles and apparel","Textiles and apparel
Indicator: GVA in millions CHF
Year: 2017
Value: 1075.84 million CHF"
"119","13-15",2003,"GVA percentage change",-4.43717483937277,"Textiles and apparel","Textiles and apparel
Indicator: GVA percentage change
Year: 2003
Value: -4.44%"
"120","13-15",2004,"GVA percentage change",-0.049364173845297,"Textiles and apparel","Textiles and apparel
Indicator: GVA percentage change
Year: 2004
Value: -0.05%"
"121","13-15",2006,"GVA in millions CHF",1221.58277850059,"Textiles and apparel","Textiles and apparel
Indicator: GVA in millions CHF
Year: 2006
Value: 1221.58 million CHF"
"122","13-15",2016,"Share in GDP",0.160942935247604,"Textiles and apparel","Textiles and apparel
Indicator: Share in GDP
Year: 2016
Value: 0.16%"
"123","13-15",2013,"Share in GDP",0.179015618309041,"Textiles and apparel","Textiles and apparel
Indicator: Share in GDP
Year: 2013
Value: 0.18%"
"124","13-15",2010,"GVA in millions CHF",1231.76974804795,"Textiles and apparel","Textiles and apparel
Indicator: GVA in millions CHF
Year: 2010
Value: 1231.77 million CHF"
"125","13-15",2014,"Share in GDP",0.177993406373816,"Textiles and apparel","Textiles and apparel
Indicator: Share in GDP
Year: 2014
Value: 0.18%"
"126","13-15",2014,"GVA in millions CHF",1159.44155665271,"Textiles and apparel","Textiles and apparel
Indicator: GVA in millions CHF
Year: 2014
Value: 1159.44 million CHF"
"127","13-15",2017,"Share in GDP",0.159918576385612,"Textiles and apparel","Textiles and apparel
Indicator: Share in GDP
Year: 2017
Value: 0.16%"
"128","13-15",2004,"GVA in millions CHF",1184.15628537387,"Textiles and apparel","Textiles and apparel
Indicator: GVA in millions CHF
Year: 2004
Value: 1184.16 million CHF"
"129","13-15",2013,"GVA in millions CHF",1144.60370739334,"Textiles and apparel","Textiles and apparel
Indicator: GVA in millions CHF
Year: 2013
Value: 1144.6 million CHF"
"130","13-15",2019,"Share in GDP",0.154153107929325,"Textiles and apparel","Textiles and apparel
Indicator: Share in GDP
Year: 2019
Value: 0.15%"
"131","13-15",2003,"GVA in millions CHF",1184.74112304146,"Textiles and apparel","Textiles and apparel
Indicator: GVA in millions CHF
Year: 2003
Value: 1184.74 million CHF"
"132","13-15",2015,"GVA in millions CHF",1107.57169039362,"Textiles and apparel","Textiles and apparel
Indicator: GVA in millions CHF
Year: 2015
Value: 1107.57 million CHF"
"133","13-15",2005,"GVA in millions CHF",1170.82313817131,"Textiles and apparel","Textiles and apparel
Indicator: GVA in millions CHF
Year: 2005
Value: 1170.82 million CHF"
"134","13-15",2002,"GVA percentage change",-10.6314688563054,"Textiles and apparel","Textiles and apparel
Indicator: GVA percentage change
Year: 2002
Value: -10.63%"
"135","13-15",1999,"GVA percentage change",-13.8508456124784,"Textiles and apparel","Textiles and apparel
Indicator: GVA percentage change
Year: 1999
Value: -13.85%"
"136","13-15",2016,"GVA in millions CHF",1070.50453364784,"Textiles and apparel","Textiles and apparel
Indicator: GVA in millions CHF
Year: 2016
Value: 1070.5 million CHF"
"137","13-15",2001,"GVA percentage change",1.20388519412752,"Textiles and apparel","Textiles and apparel
Indicator: GVA percentage change
Year: 2001
Value: 1.2%"
"138","13-15",2000,"GVA percentage change",-2.76689337788054,"Textiles and apparel","Textiles and apparel
Indicator: GVA percentage change
Year: 2000
Value: -2.77%"
"139","16",1997,"GVA percentage change",NA,"Wood and of products of wood and cork, except furniture","Wood and of products of wood and cork, except furniture
Indicator: GVA percentage change
Year: 1997
Value: NA%"
"140","16",1998,"GVA percentage change",-3.61660452182262,"Wood and of products of wood and cork, except furniture","Wood and of products of wood and cork, except furniture
Indicator: GVA percentage change
Year: 1998
Value: -3.62%"
"141","16",1999,"GVA percentage change",-0.0419279662481298,"Wood and of products of wood and cork, except furniture","Wood and of products of wood and cork, except furniture
Indicator: GVA percentage change
Year: 1999
Value: -0.04%"
"142","16",2000,"GVA percentage change",0.234612709901494,"Wood and of products of wood and cork, except furniture","Wood and of products of wood and cork, except furniture
Indicator: GVA percentage change
Year: 2000
Value: 0.23%"
"143","16",2001,"GVA percentage change",4.54919813156367,"Wood and of products of wood and cork, except furniture","Wood and of products of wood and cork, except furniture
Indicator: GVA percentage change
Year: 2001
Value: 4.55%"
"144","16",2002,"GVA percentage change",2.85361177901647,"Wood and of products of wood and cork, except furniture","Wood and of products of wood and cork, except furniture
Indicator: GVA percentage change
Year: 2002
Value: 2.85%"
"145","16",2003,"GVA percentage change",1.20161021253389,"Wood and of products of wood and cork, except furniture","Wood and of products of wood and cork, except furniture
Indicator: GVA percentage change
Year: 2003
Value: 1.2%"
"146","16",2004,"GVA percentage change",3.86827106805502,"Wood and of products of wood and cork, except furniture","Wood and of products of wood and cork, except furniture
Indicator: GVA percentage change
Year: 2004
Value: 3.87%"
"147","16",2005,"GVA percentage change",3.88427329869663,"Wood and of products of wood and cork, except furniture","Wood and of products of wood and cork, except furniture
Indicator: GVA percentage change
Year: 2005
Value: 3.88%"
"148","16",2006,"GVA percentage change",4.46389266930474,"Wood and of products of wood and cork, except furniture","Wood and of products of wood and cork, except furniture
Indicator: GVA percentage change
Year: 2006
Value: 4.46%"
"149","16",2007,"GVA percentage change",8.36311212600742,"Wood and of products of wood and cork, except furniture","Wood and of products of wood and cork, except furniture
Indicator: GVA percentage change
Year: 2007
Value: 8.36%"
"150","16",2008,"GVA percentage change",1.23084396028174,"Wood and of products of wood and cork, except furniture","Wood and of products of wood and cork, except furniture
Indicator: GVA percentage change
Year: 2008
Value: 1.23%"
"151","16",2009,"GVA percentage change",-2.50199378360238,"Wood and of products of wood and cork, except furniture","Wood and of products of wood and cork, except furniture
Indicator: GVA percentage change
Year: 2009
Value: -2.5%"
"152","16",2010,"GVA percentage change",0.328355885317986,"Wood and of products of wood and cork, except furniture","Wood and of products of wood and cork, except furniture
Indicator: GVA percentage change
Year: 2010
Value: 0.33%"
"153","16",2011,"GVA percentage change",1.73644782674577,"Wood and of products of wood and cork, except furniture","Wood and of products of wood and cork, except furniture
Indicator: GVA percentage change
Year: 2011
Value: 1.74%"
"154","16",2012,"GVA percentage change",-5.06712513523122,"Wood and of products of wood and cork, except furniture","Wood and of products of wood and cork, except furniture
Indicator: GVA percentage change
Year: 2012
Value: -5.07%"
"155","16",2013,"GVA percentage change",0.627424878929002,"Wood and of products of wood and cork, except furniture","Wood and of products of wood and cork, except furniture
Indicator: GVA percentage change
Year: 2013
Value: 0.63%"
"156","16",2014,"GVA percentage change",0.978131048544601,"Wood and of products of wood and cork, except furniture","Wood and of products of wood and cork, except furniture
Indicator: GVA percentage change
Year: 2014
Value: 0.98%"
"157","16",2015,"GVA percentage change",-1.49207375599211,"Wood and of products of wood and cork, except furniture","Wood and of products of wood and cork, except furniture
Indicator: GVA percentage change
Year: 2015
Value: -1.49%"
"158","16",2016,"GVA percentage change",-2.33299390607593,"Wood and of products of wood and cork, except furniture","Wood and of products of wood and cork, except furniture
Indicator: GVA percentage change
Year: 2016
Value: -2.33%"
"159","16",2017,"GVA percentage change",0.125624644803531,"Wood and of products of wood and cork, except furniture","Wood and of products of wood and cork, except furniture
Indicator: GVA percentage change
Year: 2017
Value: 0.13%"
"160","16",2018,"GVA percentage change",4.40579613092296,"Wood and of products of wood and cork, except furniture","Wood and of products of wood and cork, except furniture
Indicator: GVA percentage change
Year: 2018
Value: 4.41%"
"161","16",2019,"GVA percentage change",1.64831458239064,"Wood and of products of wood and cork, except furniture","Wood and of products of wood and cork, except furniture
Indicator: GVA percentage change
Year: 2019
Value: 1.65%"
"162","16",2016,"GVA in millions CHF",3501.9378893848,"Wood and of products of wood and cork, except furniture","Wood and of products of wood and cork, except furniture
Indicator: GVA in millions CHF
Year: 2016
Value: 3501.94 million CHF"
"163","16",2017,"GVA in millions CHF",3506.33718641958,"Wood and of products of wood and cork, except furniture","Wood and of products of wood and cork, except furniture
Indicator: GVA in millions CHF
Year: 2017
Value: 3506.34 million CHF"
"164","16",2018,"GVA in millions CHF",3660.81925451597,"Wood and of products of wood and cork, except furniture","Wood and of products of wood and cork, except furniture
Indicator: GVA in millions CHF
Year: 2018
Value: 3660.82 million CHF"
"165","16",2019,"GVA in millions CHF",3721.16107212312,"Wood and of products of wood and cork, except furniture","Wood and of products of wood and cork, except furniture
Indicator: GVA in millions CHF
Year: 2019
Value: 3721.16 million CHF"
"166","16",1997,"GVA in millions CHF",2917.92645550957,"Wood and of products of wood and cork, except furniture","Wood and of products of wood and cork, except furniture
Indicator: GVA in millions CHF
Year: 1997
Value: 2917.93 million CHF"
"167","16",1998,"GVA in millions CHF",2812.39659537615,"Wood and of products of wood and cork, except furniture","Wood and of products of wood and cork, except furniture
Indicator: GVA in millions CHF
Year: 1998
Value: 2812.4 million CHF"
"168","16",1999,"GVA in millions CHF",2811.21741468087,"Wood and of products of wood and cork, except furniture","Wood and of products of wood and cork, except furniture
Indicator: GVA in millions CHF
Year: 1999
Value: 2811.22 million CHF"
"169","16",2000,"GVA in millions CHF",2817.81288803868,"Wood and of products of wood and cork, except furniture","Wood and of products of wood and cork, except furniture
Indicator: GVA in millions CHF
Year: 2000
Value: 2817.81 million CHF"
"170","16",2001,"GVA in millions CHF",2946.0007792923,"Wood and of products of wood and cork, except furniture","Wood and of products of wood and cork, except furniture
Indicator: GVA in millions CHF
Year: 2001
Value: 2946 million CHF"
"171","16",2002,"GVA in millions CHF",3030.0682045401,"Wood and of products of wood and cork, except furniture","Wood and of products of wood and cork, except furniture
Indicator: GVA in millions CHF
Year: 2002
Value: 3030.07 million CHF"
